 Price ,Area,Location,Bedrooms,Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,Security 24x7,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
11000000,1255,Sector 21 Kamothe,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
7200000,1055,Sector 19 Kharghar,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
7000000,1060,Sector 5 Ulwe,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
12700000,1238,Navi Basti,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8500000,1150,Sector12 Kamothe,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
8500000,1165,Sector12 Kamothe,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
7700000,1080,Sector9 Kamothe,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
11000000,1470,Sector12 Kamothe,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0
6000000,610,Sector9 Kamothe,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
9200000,1180,Sector12 Kamothe,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
15000000,1735,Sector9 Kamothe,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0
